,Households with Snap,Total Households,GEOID,Pct_hh_snap,No Health Under 19,No Health 19to34,No Health 35to64,No Health 65 plus,Total Population,No Health,Pct_noHealthInsurance,Income Inequality (GINI Index),Under 25,Total 25 to 44,45 to 64,Population with Internet Access,Pct_internet,Rent Occupied housing units,rent_combined,pct_rentBurdenend,Population with Access to Transportation,Pct_transportAccess,Population with Access to Devices,Pct_deviceAccess,White Alone Population,Pct_minority,Civilian Force Unemployed,Total Civilian Force,Unemployment Rate,Male 18 to 24,HS Grad Male 18 to 24,Female 18 to 24,HS Grad Female 18 to 24,HS Grad,18to24 Population,Pct_HsGrad,Pct_NonHsGrad,Non Native,Pct_nonNative,Pct_hh_snap_binned,Pct_hh_snap_bin_range,Pct_noHealthInsurance_binned,Pct_noHealthInsurance_bin_range,Income Inequality (GINI Index)_binned,Income Inequality (GINI Index)_bin_range,Pct_internet_binned,Pct_internet_bin_range,pct_rentBurdenend_binned,pct_rentBurdenend_bin_range,Pct_transportAccess_binned,Pct_transportAccess_bin_range,Pct_deviceAccess_binned,Pct_deviceAccess_bin_range,Pct_minority_binned,Pct_minority_bin_range,Unemployment Rate_binned,Unemployment Rate_bin_range,Pct_HsGrad_binned,Pct_HsGrad_bin_range,Pct_NonHsGrad_binned,Pct_NonHsGrad_bin_range,Pct_nonNative_binned,Pct_nonNative_bin_range
49,294,2452,10003001100,11.99,0,0,101,0,3415,101,2.96,0.4649,105951.0,,36802.0,2045,59.88,1684,844,50.12,1985,58.13,401,11.74,2514,26.38,81,2048,3.96,126,49,160,12,61,286,21.33,78.67,750,21.96,2.0,8.52-15.79,1.0,2.58-4.75,3.0,0.45-0.59,3.0,40.2-59.88,2.0,44.84-56.92,3.0,51.37-100.0,3.0,7.3-25.24,1.0,18.46-36.0,1.0,2.6-4.62,1.0,21.04-35.8,2.0,64.2-78.96,1.0,11.33-24.5
50,21,1019,10003001200,2.06,0,40,8,0,1850,48,2.59,0.3481,82244.0,111400.0,61563.0,981,53.03,642,171,26.64,1427,77.14,57,3.08,1641,11.3,9,1431,0.63,50,0,77,0,0,127,0.0,100.0,152,8.22,0.0,0.0-4.29,1.0,2.58-4.75,0.0,0.28-0.37,3.0,40.2-59.88,0.0,0.0-32.08,3.0,51.37-100.0,1.0,3.02-5.27,0.0,1.59-18.46,0.0,0.0-2.6,0.0,0.0-21.04,3.0,78.96-100.0,0.0,0.78-11.33
51,23,1843,10003001300,1.25,13,37,31,28,3618,109,3.01,0.4785,153750.0,174813.0,92452.0,1765,48.78,195,20,10.26,1883,52.05,157,4.34,3071,15.12,36,1934,1.86,53,19,53,20,39,106,36.79,63.21,155,4.28,0.0,0.0-4.29,1.0,2.58-4.75,3.0,0.45-0.59,3.0,40.2-59.88,0.0,0.0-32.08,3.0,51.37-100.0,1.0,3.02-5.27,0.0,1.59-18.46,0.0,0.0-2.6,2.0,35.8-52.22,1.0,47.78-64.2,0.0,0.78-11.33
52,227,1013,10003001400,22.41,0,95,35,0,2195,130,5.92,0.4585,69625.0,58651.0,26667.0,874,39.82,465,264,56.77,995,45.33,203,9.25,1020,53.53,88,1106,7.96,96,31,63,23,54,159,33.96,66.04,846,38.54,3.0,15.79-47.28,2.0,4.75-7.69,3.0,0.45-0.59,2.0,35.78-40.2,2.0,44.84-56.92,1.0,42.22-46.67,3.0,7.3-25.24,3.0,51.87-97.75,3.0,7.35-25.68,1.0,21.04-35.8,2.0,64.2-78.96,2.0,24.5-39.14
53,291,1064,10003001500,27.35,61,0,93,0,2393,154,6.44,0.5416,61912.0,103472.0,41853.0,870,36.36,554,347,62.64,1137,47.51,174,7.27,636,73.42,131,1333,9.83,13,13,139,0,13,152,8.55,91.45,1566,65.44,3.0,15.79-47.28,2.0,4.75-7.69,3.0,0.45-0.59,2.0,35.78-40.2,3.0,56.92-100.0,2.0,46.67-51.37,2.0,5.27-7.3,3.0,51.87-97.75,3.0,7.35-25.68,0.0,0.0-21.04,3.0,78.96-100.0,3.0,39.14-94.26
54,298,945,10003001600,31.53,0,77,37,0,2734,114,4.17,0.4193,49417.0,37478.0,26042.0,816,29.85,642,380,59.19,1067,39.03,334,12.22,459,83.21,43,1154,3.73,47,14,105,20,34,152,22.37,77.63,1993,72.9,3.0,15.79-47.28,1.0,2.58-4.75,2.0,0.41-0.45,0.0,0.0-32.09,3.0,56.92-100.0,0.0,16.51-42.22,3.0,7.3-25.24,3.0,51.87-97.75,1.0,2.6-4.62,1.0,21.04-35.8,2.0,64.2-78.96,3.0,39.14-94.26
55,263,994,10003001902,26.46,30,85,33,0,2123,148,6.97,0.5123,62714.0,132232.0,,908,42.77,714,425,59.52,1069,50.35,299,14.08,340,83.98,41,1108,3.7,33,10,69,22,32,102,31.37,68.63,1653,77.86,3.0,15.79-47.28,2.0,4.75-7.69,3.0,0.45-0.59,3.0,40.2-59.88,3.0,56.92-100.0,2.0,46.67-51.37,3.0,7.3-25.24,3.0,51.87-97.75,1.0,2.6-4.62,1.0,21.04-35.8,2.0,64.2-78.96,3.0,39.14-94.26
56,302,824,10003002100,36.65,0,21,137,0,1335,158,11.84,0.4309,41023.0,33395.0,16628.0,648,48.54,617,265,42.95,587,43.97,337,25.24,239,82.1,95,682,13.93,26,15,31,6,21,57,36.84,63.16,895,67.04,3.0,15.79-47.28,3.0,7.69-30.05,2.0,0.41-0.45,3.0,40.2-59.88,1.0,32.08-44.84,1.0,42.22-46.67,3.0,7.3-25.24,3.0,51.87-97.75,3.0,7.35-25.68,2.0,35.8-52.22,1.0,47.78-64.2,3.0,39.14-94.26
57,198,786,10003002200,25.19,91,212,359,49,3419,711,20.8,0.41,32344.0,55968.0,,732,21.41,427,237,55.5,930,27.2,201,5.88,241,92.95,218,1165,18.71,43,30,108,45,75,151,49.67,50.33,1251,36.59,3.0,15.79-47.28,3.0,7.69-30.05,2.0,0.41-0.45,0.0,0.0-32.09,2.0,44.84-56.92,0.0,16.51-42.22,2.0,5.27-7.3,3.0,51.87-97.75,3.0,7.35-25.68,2.0,35.8-52.22,1.0,47.78-64.2,2.0,24.5-39.14
58,325,1045,10003002300,31.1,0,33,69,0,2153,102,4.74,0.4191,51367.0,46324.0,24464.0,908,42.17,643,320,49.77,913,42.41,356,16.54,147,93.17,79,1026,7.7,69,64,65,38,102,134,76.12,23.88,1381,64.14,3.0,15.79-47.28,1.0,2.58-4.75,2.0,0.41-0.45,3.0,40.2-59.88,2.0,44.84-56.92,1.0,42.22-46.67,3.0,7.3-25.24,3.0,51.87-97.75,3.0,7.35-25.68,3.0,52.22-100.0,0.0,0.0-47.78,3.0,39.14-94.26
